store_name,owner_name,contact_number,address,city,website,google_maps_url
PAHARIYA STONES | Imported Marble in Jaipur | Granite | Quartz | Premium Stones,,08290088885,"Metro Station, 20, Gopalpura Bypass Rd, opposite Pillar No. 18, Nirman Nagar, Mansarovar, Jaipur, Rajasthan 302020",Jaipur,5.0,8,Marble supplier,https://pahariyastones.com/,https://www.google.com/maps/place/PAHARIYA+STONES+%7C+Imported+Marble+in+Jaipur+%7C+Granite+%7C+Quartz+%7C+Premium+Stones/data=!4m7!3m6!1s0x396db5989f01f54b:0x98bdc56e3d281428!8m2!3d26.8797805!4d75.7516896!16s%2Fg%2F11vbsf6yfs!19sChIJS_UBn5i1bTkRKBQoPW7FvZg?authuser=0&hl=en&rclk=1
K.K STONE,,08290963938,"Chandra Villa' B-182 Bank officers Campus, Jagatpura, Ramnagariya, Jaipur, Rajasthan 302017",Jaipur,5.0,21,Granite supplier,,https://www.google.com/maps/place/K.K+STONE/data=!4m7!3m6!1s0x396dc96c1962e67f:0xe7aad0198b15dff5!8m2!3d26.8152745!4d75.8609416!16s%2Fg%2F11sgxxdn2t!19sChIJf-ZiGWzJbTkR9d8VixnQquc?authuser=0&hl=en&rclk=1
UNIQUE STONEX INDIA.,,09887678787,"B, 2, Gopalpura Bypass Rd, Dr. Rajendra Prasad Nagar-A, Manyawas, Mohru Nagar, Mansarovar, Jaipur, Rajasthan 302019",Jaipur,4.9,32,Marble supplier,,https://www.google.com/maps/place/UNIQUE+STONEX+INDIA./data=!4m7!3m6!1s0x396db5c93e9eabb1:0x672809177cf7a7d9!8m2!3d26.8794016!4d75.7348113!16s%2Fg%2F11khwy0cm5!19sChIJsauePsm1bTkR2af3fBcJKGc?authuser=0&hl=en&rclk=1
Shree Balaji marble and granite,,08290315308,"Sukh Vihar, 41, Gurjar Ki Thadi, Jaipur, Rajasthan 302019",Jaipur,5.0,40,Marble supplier,,https://www.google.com/maps/place/Shree+Balaji+marble+and+granite/data=!4m7!3m6!1s0x396db50019aeadff:0xdc204624cadce766!8m2!3d26.8798914!4d75.7677929!16s%2Fg%2F11xh9kdpj7!19sChIJ_62uGQC1bTkRZufcyiRGINw?authuser=0&hl=en&rclk=1
Dreamax Marble Center Jaipur,,09001647120,"Shiv Mandir, Opp: Vedanta Hospital, Ajmer Rd, Rani Sati Nagar, Nirman Nagar, Brijlalpura, Jaipur, Rajasthan 302006",Jaipur,4.6,31,Marble supplier,http://www.dreamaxmarble.com/,https://www.google.com/maps/place/Dreamax+Marble+Center+Jaipur/data=!4m7!3m6!1s0x396db464355e1959:0x288a30795ceebadb!8m2!3d26.8894575!4d75.7388491!16s%2Fg%2F11ckzf47c_!19sChIJWRleNWS0bTkR27ruXHkwiig?authuser=0&hl=en&rclk=1
Neelmani Tiles and Granite,,Send to phone,"Plot No.B 9- 10, near the Utsav Garden, B Block, B - Block, Narayan Vihar, Mansarover, Jaipur, Rajasthan 302026",Jaipur,4.9,15,Tile store,https://neelmanitilesandgranite.in/,https://www.google.com/maps/place/Neelmani+Tiles+and+Granite/data=!4m7!3m6!1s0x396db59da4f27b09:0xd94f45ac6c9f302a!8m2!3d26.8649218!4d75.7227146!16s%2Fg%2F11n4wcp_p7!19sChIJCXvypJ21bTkRKjCfbKxFT9k?authuser=0&hl=en&rclk=1
Manglam Marble,,Send to phone,"DRAVYAVATI RIVER, D-2-A, Mansarovar Rd, near MAHARANI FARM, Maharani Farm, Gayatri Nagar A, Durgapura, Jaipur, Rajasthan 302018",Jaipur,4.4,7,Granite supplier,,https://www.google.com/maps/place/Manglam+Marble/data=!4m7!3m6!1s0x396db5c0f92d5937:0x98d51fd3d50f55fb!8m2!3d26.8503113!4d75.7847355!16s%2Fg%2F11b7q7trdr!19sChIJN1kt-cC1bTkR-1UP1dMf1Zg?authuser=0&hl=en&rclk=1
Gravity Stones,,09672027524,"Metro Station, opposite Pillar No:- 26, Nirman Nagar, Mansarovar, Jaipur, Rajasthan 302019",Jaipur,4.4,14,Tile store,,https://www.google.com/maps/place/Gravity+Stones/data=!4m7!3m6!1s0x396db5e445884749:0x2c3d12ee112560ae!8m2!3d26.8796053!4d75.7540419!16s%2Fg%2F11rjssv2hx!19sChIJSUeIReS1bTkRrmAlEe4SPSw?authuser=0&hl=en&rclk=1
Granite & Stone hub,,09004253224,"D-40 Central Spine Jirota Opp. Bombay Hospital, Near Apparel Park, Jagatpura, Jaipur, Rajasthan 302017",Jaipur,5.0,10,Granite supplier,,https://www.google.com/maps/place/Granite+%26+Stone+hub/data=!4m7!3m6!1s0x396dc9aad35982a3:0xd08662ccb5fbc6ad!8m2!3d26.7865221!4d75.8643188!16s%2Fg%2F11gvy1rrgz!19sChIJo4JZ06rJbTkRrcb7tcxihtA?authuser=0&hl=en&rclk=1
Kale Khan Chhajju Khan Stone Merchant,,09929888887,"E-19, Madhuvan Colony, Barkat Nagar, Tonk Phatak, Jaipur, Rajasthan 302015",Jaipur,4.7,20,Stone supplier,,https://www.google.com/maps/place/Kale+Khan+Chhajju+Khan+Stone+Merchant/data=!4m7!3m6!1s0x396db55256f357eb:0x2a110e5cfa49b023!8m2!3d26.873847!4d75.797321!16s%2Fg%2F11y4h29cby!19sChIJ61fzVlK1bTkRI7BJ-lwOESo?authuser=0&hl=en&rclk=1
SHREE SHYAM MARBLE AND GRANITE,,Send to phone,"SUKHSAGAR, A 12-13, Meena Wala -Sirsi Rd, Jaipur, Rajasthan 302034",Jaipur,5.0,7,Granite supplier,,https://www.google.com/maps/place/SHREE+SHYAM+MARBLE+AND+GRANITE/data=!4m7!3m6!1s0x396c4d82c9ef81f7:0x3de60a265b9385a2!8m2!3d26.9239466!4d75.7106185!16s%2Fg%2F11syf8dh4g!19sChIJ94HvyYJNbDkRooWTWyYK5j0?authuser=0&hl=en&rclk=1
